1;Предмет 1;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
1;Предмет 2;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
1;Предмет 3;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
2;Предмет 4;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
2;Предмет 5;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
2;Предмет 6;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
3;Предмет 7;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
3;Предмет 8;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
3;Предмет 9;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
4;Предмет 10;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
4;Предмет 11;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
4;Предмет 12;Ut sit blanditiis ducimus accusamus molestiae saepe facere.;"[{""option_1"": 1},{""option_2"": 1},{""option_3"": 1},{""option_4"": 1}]"
